time,traj,ipca1,ipca2
17.4,14,2.8885619305309262,-4.308254140395068
17.4,15,3.7486221036209817,-6.205260710901285
17.4,16,4.323014174375514,-4.771950666707504
17.4,17,-0.22118734813262136,-3.3214022103993743
17.4,18,2.6463126275622155,-4.969911752378296
17.4,19,3.4575758743890415,-3.8143496717927228
17.4,20,5.342122982838309,-4.650500209043731
17.4,21,1.8413883722003446,-6.113551233722793
17.4,22,2.365731778374766,-4.248236381905946
17.4,23,4.370374735996736,-6.420069462320409
17.4,24,5.548678369856458,-4.656640486109122
17.4,25,1.777422932855983,-1.214151640222592
17.4,26,3.010864759355351,-5.13747076828514
17.4,27,4.1324766885829,-3.1537219350055
17.4,28,2.367619873372887,-3.3121730898817763
17.4,29,3.270514188578857,-4.66689059722054
17.4,30,2.5549506852794925,-4.8756126700751015
17.4,31,4.319988921223148,-3.105733345736268
17.4,32,3.6782079559173475,-1.7520226726348438
17.4,33,1.7822867295622435,-2.9598459734964573
17.4,34,1.8186984410531022,-0.3819835863771272
17.4,35,2.2651024056811115,-5.15937188346909
17.4,36,3.4694974870006945,-0.42539892948162805
17.4,37,1.3433947356590474,-4.537327502871021
17.4,38,2.167572867972109,-5.606811262948501
17.4,39,3.237127785899004,-4.714721737182765
17.4,40,1.9509403833138357,-2.15371812074792
17.4,41,4.3280856618943355,-3.6242535314901088
17.4,42,4.488401843102127,-6.1322270610436
17.4,43,2.044389797904026,-3.1388976145677794
17.4,44,1.8256604337418847,-1.6739842337369795
17.4,45,0.9051124422843827,-6.445204059588655
17.4,46,2.0175314941811373,-3.9284166604609334
17.4,47,4.652323100841748,-3.6495702524116145
17.4,48,5.702066505049213,-6.494618521079259
17.4,49,5.321400535379718,-4.061335442561577
17.4,50,1.0590836925048817,-3.2511390916587346
17.5,1,4.801385417595507,-3.0887054604539004
17.5,2,1.5577148440868112,-6.371491031601143
17.5,3,4.248984152232566,-2.1812766172673492
17.5,4,2.8843412868905918,-4.29771709360836
17.5,5,3.6006647018187667,-3.9782064962013077
17.5,6,3.9888981495731572,-2.785110634004648
17.5,7,3.5028252195093095,-4.915298191930422
17.5,8,3.7963377347715634,-4.900103343092765
17.5,9,4.871368253577409,-3.887453952642992
17.5,10,2.4520731379130956,-2.737340690533026
17.5,11,3.46629384689184,-1.0888727344970803
17.5,12,4.163184427909852,-4.454039539571903
17.5,13,3.7983620985330275,-1.2021018111909223
